Company,Department,Job Type,Location,Education,Language,Description
trg,Interns,Sales Support Intern,Vietnam Â· Hybrid,,English,"Assist the sales team with administrative tasks, lead generation, and proposal preparation in a hybrid intern role in Vietnam."
trg,Sales,Sales Executive,Vietnam Â· Hybrid,,English,"Drive sales growth by identifying new opportunities, managing the sales cycle, and achieving targets in a hybrid role based in Vietnam."
trg,Delivery,Senior Technical Application Consultant,Vietnam Â· Hybrid,,English,"Act as a subject matter expert, leading complex application implementations and providing advanced technical solutions for clients in a hybrid role in Vietnam."
trg,Marketing,Junior Webmaster Intern (With Potential for Full-Time Employment),Vietnam Â· Hybrid,,English,"Support website maintenance, content updates, and digital asset management, learning critical webmaster skills in a hybrid intern role in Vietnam with potential for a full-time offer."
trg,Marketing,Video Production Intern,Vietnam Â· Hybrid,,English,"Support the marketing team by planning, shooting, and editing video content for various platforms in a hybrid intern role in Vietnam."
trg,Sales,Account Manager (Hanoi-based),Vietnam Â· Fully Remote,,English,"Manage and grow client relationships from a remote location in Hanoi, focusing on strategic account development and long-term partnerships."
trg,TRG F&B,Graphic Design Intern (for PJ's Coffee of TRG),Vietnam Â· Hybrid,,English,"Design engaging visual content and marketing materials specifically for the PJ's Coffee brand, working as a hybrid intern in Vietnam."
trg,Interns,Business Development Intern,Multiple locations Â· Hybrid,,English,"Assist in market research, strategic planning, and identifying new business opportunities across multiple locations in a hybrid intern role."
trg,Interns,Recruitment Intern,Vietnam Â· Hybrid,,English,"Support the HR/Talent Acquisition team with candidate sourcing, screening, scheduling, and administrative tasks in a hybrid intern role in Vietnam."
trg,Interns,WordPress Developer Internship,Vietnam Â· Hybrid,,English,"Develop and maintain corporate websites, focusing on WordPress platform management, theme customization, and plugin configuration as a hybrid intern in Vietnam."
trg,Sales,Account Manager (HCM-based),Vietnam Â· Hybrid,,English,"Manage and expand client accounts in Ho Chi Minh City, focusing on sales targets, relationship building, and customer satisfaction in a hybrid role."
trg,Sales,Senior Account Manager (Thailand-based),Thailand Â· Fully Remote,,English,"Manage high-value accounts and strategic partnerships in Thailand, driving significant revenue growth and working in a fully remote capacity."
trg,Interns,Sales Operation Intern,Vietnam Â· Hybrid,,English,"Support the sales team by managing data, optimizing processes, analyzing performance metrics, and handling administrative tasks in a hybrid intern role in Vietnam."
trg,Interns,SOP Intern,Vietnam Â· Hybrid,,English,"Document and standardize internal operational procedures (SOPs), helping to streamline business processes and improve efficiency in a hybrid intern role in Vietnam."
cubix_jobs,Development,Software Engineering,Cubix Offices / Remote,,English,"Web, Mobile, SaaS, AI, and Emerging Tech Developers."
cubix_jobs,Game Design,Game Development & Design,Cubix Offices / Remote,,English,"Game Designers, Artists, Animators."
cubix_jobs,Design,Creative & UI/UX,Cubix Offices / Remote,,English,"Graphic Designers, UI/UX Experts, Motion Designers."
cubix_jobs,Infrastructure,DevOps & Infrastructure,Cubix Offices / Remote,,English,"DevOps Engineers, Cloud Specialists, System Admins."
cubix_jobs,Quality Assurance,QA & Testing,Cubix Offices / Remote,,English,"Manual Testers, Automation Engineers, QA Analysts."
cubix_jobs,Management,Business & Leadership,Cubix Offices / Remote,,English,"Project Managers, Product Owners, Business Development Leaders."
Venture Dive,Engineering,Senior Backend Developer,Karachi · Hybrid,Hybrid,English,"Responsible for overseeing all accounting operations, ensuring financial reporting compliance with local (VAS) and international standards, managing tax filings, and acting as the main point of contact for audits in a hybrid environment."
JazzCash,Fintech,Digital Product Manager,Islamabad · On-site,On-site,English,"Focus on generating qualified sales leads through proactive outbound activities (e.g., cold calling, email campaigns) to nurture the sales pipeline and schedule discovery meetings for the sales team in Vietnam."
Systems Limited,Sales,Sales Executive (Enterprise Solutions),Lahore · Hybrid,Hybrid,English,"Provide specialized technical consulting to clients, including system implementation, configuration, API integration, data migration, and troubleshooting, ensuring successful project delivery in Vietnam."
TRG Pakistan,Support,Technical Support Specialist (Night Shift),Karachi · Fully Remote,Fully Remote,English,"Engage in project-based consulting, primarily responsible for the pre-sales, implementation, configuration, and user training of enterprise application software (like ERP/Accounting systems) for clients in Thailand."
Airlift Technologies,Operations,Supply Chain Analyst,Lahore · On-site,On-site,English,"Lead the full lifecycle implementation of complex software applications, utilizing expertise in ERP or Financial Accounting systems, to meet client business requirements in Thailand."
TPL Corp,Marketing,Social Media Content Creator,Karachi · Hybrid,Hybrid,English,"Deliver front-line technical support (Tier 1/2) for both internal staff and external clients, managing ticketing, troubleshooting software issues, and ensuring swift resolution to maintain business continuity in Vietnam."
Contour Software,Engineering,QA Engineer (Manual & Automation),Karachi · Hybrid,Hybrid,English,"Assist the sales team with administrative tasks, data management in the CRM system, generating reports, preparing proposals, and conducting market research to support lead qualification efforts in a hybrid intern role."
HBL (Habib Bank Ltd),Finance,Credit Risk Officer,Karachi · On-site,On-site,English,"Drive revenue growth by identifying, qualifying, and closing new business opportunities, managing the entire sales cycle, and maintaining strong client relationships across Vietnam."
Netsol Technologies,R&D,Machine Learning Engineer,Lahore · Hybrid,Hybrid,English,"Act as a subject matter expert, leading complex application deployments, performing advanced technical configuration, system customization, and post-go-live optimization for major client projects in Vietnam."
KeepTruckin (Motive),Design,UI/UX Designer,Islamabad · Hybrid,Hybrid,English,"Support the Marketing team by assisting with website maintenance, content management (CMS/WordPress), SEO tasks, and digital asset organization, with a clear path to a full-time Webmaster position upon successful completion."
Telenor Pakistan,Interns,Graduate Trainee (Finance),Islamabad · On-site,On-site,English,"Support the creation of engaging video content for marketing channels (social media, website, training), including filming, editing, graphic insertion, and production coordination in a hybrid intern role."
Daraz,Marketing,E-commerce Campaign Specialist,Karachi · Hybrid,Hybrid,English,"Manage and grow a dedicated portfolio of client accounts, focusing on strategic relationship management, contract renewals, upselling, and achieving revenue targets, working remotely from Hanoi."
Zameen.com,Sales,Property Sales Manager,Lahore · On-site,On-site,English,"Design and create engaging visual content, including social media graphics, in-store promotional materials (POSM), and marketing collateral, specifically for the PJ's Coffee brand under TRG F&B."
Careem,Engineering,Mobile App Developer (Flutter/React Native),Karachi · Fully Remote,Fully Remote,English,"Assist the Business Development team with market research, identifying new geographic and vertical business opportunities, qualifying potential partners/leads, and contributing to strategic growth planning."
PTCL,HR,Talent Acquisition Specialist,Islamabad · Hybrid,Hybrid,English,"Support the Talent Acquisition/HR team by assisting with candidate sourcing, screening resumes, scheduling interviews, managing candidate communication, and improving recruitment processes in a hybrid intern role."
Nestlé Pakistan,Accounting,Accounts Payable Executive,Lahore · On-site,On-site,"English, Urdu","Assist in the development, maintenance, and optimization of WordPress-based corporate websites, focusing on front-end coding (HTML/CSS/JavaScript), theme customization, and plugin management."
Bykea,Delivery,Field Operations Coordinator,Karachi · On-site,On-site,"English, Urdu","Manage and grow a dedicated portfolio of client accounts in Ho Chi Minh City, focusing on strategic relationship management, contract renewals, upselling, and achieving revenue targets in a hybrid role."
Techlogix,Consulting,Business Analyst,Lahore · Hybrid,Hybrid,English,"Manage high-value strategic accounts in the Thailand market, driving significant revenue through complex sales and renewal cycles, cultivating long-term executive relationships, and working fully remote."
Allied Bank Ltd,Finance,Branch Operations Manager,Multiple locations · On-site,On-site,"English, Urdu","Assist the Sales Operations team with data governance, CRM maintenance, sales reporting and analytics, process documentation, and commission calculation support in a hybrid intern role."
Arbisoft,Interns,Software Development Intern,Lahore · Hybrid,Hybrid,English,"Assist various departments by documenting and standardizing internal procedures (Standard Operating Procedures - SOPs), identifying process gaps, and contributing to overall organizational efficiency and quality assurance."
